SampleID	Sample_Plate	Sample_Well	Nitrite_input	Nitrate_input	Ammonium_input	Soil	Soil_ID	Sample_label2	Sample_type	Titration_type	Unit	Concentration_M	Added_ul	Chloramphenicol	Cycloheximide	Time_point	Sample_label	Replicate	ReplicateID	Soil_and_pH	Time	Soil_pH	Reads_sample	Reads_ecoli	Reads_parabac	Reads_spikein	Reads_sample_only	pH	pH_micro_T0	pH_control_T9	Biomass_proxy
Soil11_SampleB1	SetB	A01	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-100	Slurry	HCl_NaOH	-100	-10	20	None	None	Soil11_T9	Soil11_A01_-100_None	1	Soil11_T9_Slurry_None_None_-100_R1	Soil11_pH6.19	T9	6.19	60125	2243	3007	5250	54875	8.58	4.323333333	4.483333333	10.45238095
Soil11_SampleB10	SetB	A10	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-8	Slurry	HCl_NaOH	-8	-0.8	20	CHL	None	Soil11_T9	Soil11_A10_-8_CHL	1	Soil11_T9_Slurry_CHL_None_-8_R1	Soil11_pH6.19	T9	6.19	34084	1813	1885	3698	30386	5.348348348	4.316666667	4.426666667	8.216873986
Soil11_SampleB11	SetB	A11	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-3	Slurry	HCl_NaOH	-3	-0.3	20	CHL	None	Soil11_T9	Soil11_A11_-3_CHL	1	Soil11_T9_Slurry_CHL_None_-3_R1	Soil11_pH6.19	T9	6.19	58315	2909	3358	6267	52048	4.807807808	4.316666667	4.426666667	8.305090155
Soil11_SampleB12	SetB	A12	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_9	Slurry	HCl_NaOH	9	0.9	20	CHL	None	Soil11_T9	Soil11_A12_9_CHL	1	Soil11_T9_Slurry_CHL_None_9_R1	Soil11_pH6.19	T9	6.19	70073	4849	6841	11690	58383	3.846846847	4.316666667	4.426666667	4.994268606
Soil11_SampleB13	SetB	B01	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-50	Slurry	HCl_NaOH	-50	-5	20	None	None	Soil11_T9	Soil11_B01_-50_None	1	Soil11_T9_Slurry_None_None_-50_R1	Soil11_pH6.19	T9	6.19	67313	1746	2165	3911	63402	8.147147147	4.323333333	4.483333333	16.21119918
Soil11_SampleB14	SetB	B02	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-18	Slurry	HCl_NaOH	-18	-1.8	20	None	None	Soil11_T9	Soil11_B02_-18_None	1	Soil11_T9_Slurry_None_None_-18_R1	Soil11_pH6.19	T9	6.19	41047	1034	1214	2248	38799	6.84	4.323333333	4.483333333	17.25934164
Soil11_SampleB15	SetB	B03	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-10	Slurry	HCl_NaOH	-10	-1	20	None	None	Soil11_T9	Soil11_B03_-10_None	1	Soil11_T9_Slurry_None_None_-10_R1	Soil11_pH6.19	T9	6.19	76178	1944	2100	4044	72134	5.888888889	4.323333333	4.483333333	17.83728981
Soil11_SampleB16	SetB	B04	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-5	Slurry	HCl_NaOH	-5	-0.5	20	None	None	Soil11_T9	Soil11_B04_-5_None	1	Soil11_T9_Slurry_None_None_-5_R1	Soil11_pH6.19	T9	6.19	26504	787	907	1694	24810	5.12012012	4.323333333	4.483333333	14.64580874
Soil11_SampleB17	SetB	B05	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_3	Slurry	HCl_NaOH	3	0.3	20	None	None	Soil11_T9	Soil11_B05_3_None	1	Soil11_T9_Slurry_None_None_3_R1	Soil11_pH6.19	T9	6.19	17643	758	865	1623	16020	4.255255255	4.323333333	4.483333333	9.870609982
Soil11_SampleB18	SetB	B06	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_30	Slurry	HCl_NaOH	30	3	20	None	None	Soil11_T9	Soil11_B06_30_None	1	Soil11_T9_Slurry_None_None_30_R1	Soil11_pH6.19	T9	6.19	62385	11122	13162	24284	38101	3.23	4.323333333	4.483333333	1.568975457
Soil11_SampleB19	SetB	B07	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-50	Slurry	HCl_NaOH	-50	-5	20	CHL	None	Soil11_T9	Soil11_B07_-50_CHL	1	Soil11_T9_Slurry_CHL_None_-50_R1	Soil11_pH6.19	T9	6.19	40716	1714	1768	3482	37234	8.099099099	4.316666667	4.426666667	10.69327972
Soil11_SampleB2	SetB	A02	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-25	Slurry	HCl_NaOH	-25	-2.5	20	None	None	Soil11_T9	Soil11_A02_-25_None	1	Soil11_T9_Slurry_None_None_-25_R1	Soil11_pH6.19	T9	6.19	43170	977	1168	2145	41025	7.498498498	4.323333333	4.483333333	19.12587413
Soil11_SampleB20	SetB	B08	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-18	Slurry	HCl_NaOH	-18	-1.8	20	CHL	None	Soil11_T9	Soil11_B08_-18_CHL	1	Soil11_T9_Slurry_CHL_None_-18_R1	Soil11_pH6.19	T9	6.19	20945	876	1106	1982	18963	6.777777778	4.316666667	4.426666667	9.567608476
Soil11_SampleB21	SetB	B09	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-10	Slurry	HCl_NaOH	-10	-1	20	CHL	None	Soil11_T9	Soil11_B09_-10_CHL	1	Soil11_T9_Slurry_CHL_None_-10_R1	Soil11_pH6.19	T9	6.19	50502	2243	2591	4834	45668	5.696696697	4.316666667	4.426666667	9.447248655
Soil11_SampleB22	SetB	B10	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-5	Slurry	HCl_NaOH	-5	-0.5	20	CHL	None	Soil11_T9	Soil11_B10_-5_CHL	1	Soil11_T9_Slurry_CHL_None_-5_R1	Soil11_pH6.19	T9	6.19	29244	1448	1658	3106	26138	5	4.316666667	4.426666667	8.415325177
Soil11_SampleB23	SetB	B11	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_3	Slurry	HCl_NaOH	3	0.3	20	CHL	None	Soil11_T9	Soil11_B11_3_CHL	1	Soil11_T9_Slurry_CHL_None_3_R1	Soil11_pH6.19	T9	6.19	60889	3342	3579	6921	53968	4.231231231	4.316666667	4.426666667	7.797717093
Soil11_SampleB24	SetB	B12	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_30	Slurry	HCl_NaOH	30	3	20	CHL	None	Soil11_T9	Soil11_B12_30_CHL	1	Soil11_T9_Slurry_CHL_None_30_R1	Soil11_pH6.19	T9	6.19	59715	11706	14592	26298	33417	3.306306306	4.316666667	4.426666667	1.270704997
Soil11_SampleB25	SetB	C01	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-100	Slurry	HCl_NaOH	-100	-10	20	None	None	Soil11_T9	Soil11_C01_-100_None	2	Soil11_T9_Slurry_None_None_-100_R2	Soil11_pH6.19	T9	6.19	49956	1535	2088	3623	46333	8.58	4.323333333	4.483333333	12.78857301
Soil11_SampleB26	SetB	C02	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-25	Slurry	HCl_NaOH	-25	-2.5	20	None	None	Soil11_T9	Soil11_C02_-25_None	2	Soil11_T9_Slurry_None_None_-25_R2	Soil11_pH6.19	T9	6.19	39871	817	925	1742	38129	7.498498498	4.323333333	4.483333333	21.8880597
Soil11_SampleB27	SetB	C03	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-14	Slurry	HCl_NaOH	-14	-1.4	20	None	None	Soil11_T9	Soil11_C03_-14_None	2	Soil11_T9_Slurry_None_None_-14_R2	Soil11_pH6.19	T9	6.19	62786	1502	1647	3149	59637	6.537537538	4.323333333	4.483333333	18.93839314
Soil11_SampleB28	SetB	C04	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-8	Slurry	HCl_NaOH	-8	-0.8	20	None	None	Soil11_T9	Soil11_C04_-8_None	2	Soil11_T9_Slurry_None_None_-8_R2	Soil11_pH6.19	T9	6.19	30700	871	1029	1900	28800	5.21	4.323333333	4.483333333	15.15789474
Soil11_SampleB29	SetB	C05	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-3	Slurry	HCl_NaOH	-3	-0.3	20	None	None	Soil11_T9	Soil11_C05_-3_None	2	Soil11_T9_Slurry_None_None_-3_R2	Soil11_pH6.19	T9	6.19	25505	769	857	1626	23879	4.783783784	4.323333333	4.483333333	14.68573186
Soil11_SampleB3	SetB	A03	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-14	Slurry	HCl_NaOH	-14	-1.4	20	None	None	Soil11_T9	Soil11_A03_-14_None	1	Soil11_T9_Slurry_None_None_-14_R1	Soil11_pH6.19	T9	6.19	63901	1555	1735	3290	60611	6.537537538	4.323333333	4.483333333	18.42279635
