Strain,rA (mM/OD/h),gammaA (OD/mM),rI (mM/OD/h),gammaI (OD/mM)
ACM01,3.111841841,0.011525121,1.628391848,0.011893121
ACM02,3.493930285,0.010741623,1.196804414,0.012904596
ACM03,3.282770306,0.01044282,1.524387613,0.012953431
ACM04,3.470315772,0.006543037,1.776744817,0.011027269
ACV02,6.03570845,0.00340296,0,0
AGB01,0,0,5.895471221,0
ARZ01,1.086696474,0.022691812,3.84251375,0.013420482
BKH01,2.027330399,0,0,0
BOR01,4.474855591,0.005285639,0.552353472,0
CMM01,1.650482295,0.004652933,1.520489447,0
CMM02,10.79204245,0.001497886,4.62015197,0
CMM03,0.899936805,0,0.530190551,0
DLF01,4.384426576,0.004645484,0,0
ENS05,3.021082378,0.004749644,2.121163744,0.019958145
ENS08,3.110633784,0.006006157,1.986847859,0.019828221
ENS09,3.153874829,0.007126276,2.941873156,0.012627677
ENS10,1.948152847,0.012478638,2.021163171,0.017048518
ENS12,2.309583361,0.011933962,2.441972377,0.007057155
ENT01,3.333826595,0.006987009,0,0
ENT02,4.425278847,0.005567039,0,0
ENT03,7.624852126,0.004561597,0,0
PAR01,8.614459672,0.010990468,0,0
PAR19,8.841726804,0.01537979,2.857729121,0.01415042
PDM01,10.12227485,0.007272688,1.762349598,0
PDM02,5.348224756,0.014091985,1.599422572,0
PDM03,9.21397646,0.005395699,2.628763045,0.003776793
PDM04,7.79108658,0.005306083,4.583189896,0.00513018
PDM05,7.804525636,0.004803184,3.691209016,0.002432742
PDM06,4.987664949,0.005202177,3.842891227,0.006727447
PDM07,6.118157888,0.004637713,2.91562123,0.008521588
PDM08,5.311172549,0.005329652,2.734785976,0.012537252
PDM09,5.194445279,0,2.618456546,0.021120644
PDM10,6.715854028,0.00692435,1.235890065,0
PDM11,10.58855993,0,0,0
PDM12,9.835833688,0,0,0
PDM13,0,0,8.176033537,0.005617444
PDM16,1.341908423,0,7.891925981,0.003902307
PDM17,10.71755225,0.005116081,14.31570221,0.004420013
PDM18,10.26307952,0.002386811,12.89448973,0.005090182
PDM19,7.68028518,0.009216631,12.08585311,0.005755405
PDM20,13.81183127,0.002202911,12.23529678,0.005549001
PDM21,9.150178117,0.00590899,12.55470602,0.006166192
PDM22,12.30603294,0.002870355,12.69193375,0.004992118
PDM23,10.76742271,0.006260532,14.12070956,0.004256135
PDM24,6.210705765,0,2.483185123,0.022213587
PDM25,2.805860494,0.010274941,1.403856341,0
PDM26,1.031650107,0.010077121,0,0
PDM27,0.647978332,0,0,0
PDM28,2.534917842,0,0,0
PDM29,2.510667026,0,0,0
PDM30,4.183912731,0,0,0
PDM31,0.50618112,0,0,0
PDM32,0.931980707,0,0,0
PDM33,7.584575268,0.006797356,7.65952271,0.002840619
PNT02,3.063132235,0,0,0
PNT03,2.086980142,0,0,0
PXM01,0.43402921,0.013755137,1.315400016,0.002893872
PXM02,0.711047672,0.011300114,2.680206442,0.001735939
PXM03,0,0,1.712494155,0.002874388
PXM04,1.443690158,0.007713016,2.192785353,0.003154025
PXM05,1.589637813,0.009525024,3.455789619,0
RHZ01,0.983336972,0.005944421,0.435333308,0.016444906
RLT01,6.453441662,0.012278488,0,0
STM01,4.140543258,0.010896255,0,0
