Strain,rA (mM/OD/h),gammaA (OD/mM),rI (mM/OD/h),gammaI (OD/mM)
ACM01,5.897554774,0.024426408,2.924546699,0.018786957
ACM02,6.939171987,0.021622148,2.721174758,0.0113692
ACM03,6.898488996,0.019634141,3.152464661,0.014294338
ACM04,5.530592727,0.020297291,2.738106053,0.02088657
ACM05,6.063978059,0.011999309,1.677104181,0.017817865
ACV01,8.786990072,0.011111728,0,0
ACV02,11.31470388,0.008223571,0,0
AGB01,0,0,7.96662827,0.004516424
ARZ01,3.414074356,0.019037279,6.480952197,0.016019691
BKH01,0.687557582,0,0,0
BOR01,6.96654828,0.005785688,0.830391823,0
CMM01,5.167388154,0.005400308,3.901086232,0.002675257
CMM02,12.15358614,0.006203596,3.512487182,0
CMM03,5.533218199,0.006917089,4.361654549,0.010792283
DLF01,6.58140584,0.016275054,0,0
ENS01,6.06363284,0.015689045,8.558606683,0.021416389
ENS02,5.13845772,0.0191633,7.036308698,0.020043013
ENS03,4.205512287,0.021477966,5.913538855,0.025229676
ENS04,5.170687418,0.015986402,6.505787601,0.018015059
ENS05,4.695738986,0.02119403,6.157086264,0.021492459
ENS06,5.730681663,0.017422147,10.38289534,0.018883952
ENS07,5.149752162,0.022354603,7.306496503,0.015696164
ENS08,4.610181446,0.019840665,8.033519251,0.019311887
ENS09,4.059380299,0.015689806,7.339231223,0.020332387
ENS10,4.121294751,0.017590389,5.572489084,0.022826393
ENS11,3.691850855,0.01217888,4.255618774,0.022096387
ENS12,4.99754019,0.017207503,6.025397055,0.015554252
ENT01,9.127590524,0.010227416,0,0
ENT02,9.966370746,0.003667501,0,0
ENT03,5.226461549,0.010781049,0,0
PAR01,18.05004653,0.021608707,0,0
PAR19367,14.64095409,0.020598893,7.069025793,0.031966596
PDM01,8.1950485,0.014288177,7.452583839,0.012223633
PDM02,7.363194417,0.009009156,5.361666639,0.014942521
PDM03,8.029122743,0.012793737,7.24561468,0.00437199
PDM04,14.19617647,0.007348098,6.728568204,0.015976521
PDM05,12.724904,0.007778619,6.172002485,0.005986527
PDM06,14.78050853,0.008332629,7.304101531,0.014804415
PDM07,11.0287774,0.011541817,3.34298675,0.007260479
PDM08,10.75737024,0.012183626,2.73753838,0.01502243
PDM09,5.583484278,0.01172903,2.235584475,0.016925014
PDM10,10.26907517,0.011054293,2.715821722,0.01490517
PDM11,10.51221138,0.003268014,0,0
PDM12,5.596955245,0,0,0
PDM13,0,0,13.41250005,0.009901581
PDM14,0,0,8.392651995,0.001900843
PDM15,1.200461432,0,0,0
PDM16,1.63250765,0.002133081,12.06019258,0.007201828
PDM17,10.68974354,0.016630364,18.76909327,0.013450036
PDM18,10.07143309,0.013152639,15.25036086,0.011267785
PDM19,13.7771192,0.005873606,17.28503383,0.012448703
PDM20,9.090140643,0.01623352,13.1949655,0.019483835
PDM21,9.05366745,0.018926543,14.98467189,0.018751301
PDM22,13.0916085,0.007668296,17.66934969,0.011450499
PDM23,9.735911122,0.019686239,18.30509177,0.012008692
PDM24,7.655511354,0.014356906,1.900745676,0.021328845
PDM25,7.296099312,0.013285431,3.99011878,0.013887978
PDM26,1.426716777,0.0038153,0,0
PDM27,1.171042824,0,0,0
PDM28,2.878200784,0,0,0
PDM29,0.99717595,0.008098601,0,0
PDM30,0.951496798,0,0,0
PDM31,1.633288624,0,0,0
PDM32,1.080830299,0,0,0
PDM33,9.404083591,0.006193276,9.449223669,0.010498095
PNT01,3.563469994,0.005707203,0,0
PNT02,5.062579006,0,0,0
PNT03,3.354211886,0,0,0
PXM01,1.504317435,0.011399897,3.259542795,0.002064084
PXM02,1.33937186,0.010019135,2.156610115,0.001396689
PXM03,0,0,2.595779938,0.005978076
PXM04,3.388294934,0.011116462,6.989908889,0.005010332
PXM05,3.662126058,0.011657005,8.339134083,0.00235268
RHZ01,0.366054943,0.030007221,0.764777098,0.031253628
RHZ02,1.357675362,0.019251813,2.11948782,0.030044139
RLT01,8.604449995,0.014064635,0,0
STM01,4.700722874,0,0,0
VRV01,3.653084033,0.023672558,0,0
XNM01,3.821711185,0.01314119,4.453792006,0
