target_name	count
Soil11.scaffold_211583530_c1_6	5
Soil11.scaffold_431547323_c1_2	1
Soil11.scaffold_587233302_c1_1	20
Soil11.scaffold_65427810_c1_20	9
Soil12.scaffold_266712765_c1_2	12
Soil14.scaffold_280216268_c1_12	11
Soil14.scaffold_465502786_c1_2	1
Soil14.scaffold_576820813_c1_40	2
Soil15.scaffold_116822102_c1_19	10
Soil15.scaffold_16321085_c1_6	14
Soil15.scaffold_175810641_c1_3	5
Soil16.scaffold_1312607544_c1_3	11
Soil16.scaffold_313969256_c1_10	27
Soil16.scaffold_436666653_c1_2	3
Soil16.scaffold_804923086_c1_3	30
Soil17.scaffold_1045002370_c1_23	2
Soil17.scaffold_1202428475_c1_2	4
Soil17.scaffold_274056314_c1_61	3
Soil17.scaffold_332687915_c1_2	18
Soil17.scaffold_918557319_c1_2	4
Soil3.scaffold_285743490_c1_2	18
Soil3.scaffold_333288240_c1_8	7
Soil3.scaffold_408070428_c1_2	14
Soil3.scaffold_414071996_c1_8	19
Soil3.scaffold_530221301_c1_2	6
Soil5.scaffold_133269568_c1_66	2
Soil5.scaffold_183283646_c1_24	5
Soil5.scaffold_215117222_c1_59	7
Soil5.scaffold_249001418_c1_2	22
Soil5.scaffold_384418492_c1_161	3
Soil5.scaffold_395480119_c1_5	3
Soil5.scaffold_416434691_c1_48	6
Soil5.scaffold_434220697_c1_2	3
Soil5.scaffold_489407153_c1_201	1
Soil5.scaffold_544698016_c1_2	9
Soil5.scaffold_549495455_c1_6	5
Soil5.scaffold_559257041_c1_1	2
Soil5.scaffold_82918708_c1_12	3
Soil6.scaffold_312871021_c1_4	7
Soil6.scaffold_460055642_c1_2	7
Soil6.scaffold_86801766_c1_2	13
Soil6.scaffold_95998780_c1_2	12
Soil9.scaffold_175774837_c1_4	9
Soil9.scaffold_209032411_c1_3	10
Soil9.scaffold_711597457_c1_4	3
Soil9.scaffold_766455321_c1_2	12
Soil9.scaffold_816779774_c1_14	1
T0.scaffold_172278247_c1_4	13
T0.scaffold_273218771_c1_2	12
T0.scaffold_786865677_c1_2	22
T0.scaffold_961428012_c1_71	3
