species_1,species_2,16S,gyrB,icd,napA,narG,narK,nirB,nirK,nirS,norB
aaa,aaa,3034.0,5310.0,2520.0,3048.0,7656.0,2622.0,,5916.0,,
aaa,aaci,1998.0,2485.5,910.5,1753.5,,918.0,,,,
aaa,aalg,1940.0,1839.0,730.5,,,721.5,,,,
aaa,aamb,1456.0,,784.5,1045.5,2133.0,637.5,,,,
aaa,aaq,1993.0,2122.5,946.5,1641.0,3594.0,958.5,,,,
aaa,aaqi,2009.0,1393.5,622.5,,,,,,,
aaa,aaqu,2519.5,3262.5,1773.0,,,,,,,
aaa,aasc,2110.5,2137.5,802.5,1458.0,3349.5,948.0,,,,
aaa,aba,2022.5,2403.0,1309.5,,,,,,,
aaa,abo,2253.5,2641.5,837.0,1755.0,4135.5,852.0,,2236.5,,
aaa,ace,2067.5,2383.5,832.5,1573.5,1330.5,1009.5,,1564.5,,
aaa,acet,2113.5,2178.0,805.5,,,856.5,,,,
aaa,achr,2550.0,3765.0,1900.5,2109.0,4956.0,1548.0,,2910.0,,
aaa,acib,1959.5,1366.5,591.0,,,,,,,
aaa,acid,2879.5,4233.0,937.5,2358.0,5457.0,1941.0,,3789.0,,
aaa,acii,2346.5,2878.5,1449.0,787.5,,807.0,,2677.5,,
aaa,acin,2888.5,4221.0,958.5,,,1926.0,,3793.5,,
aaa,acio,2941.5,4170.0,1954.5,2391.0,,928.5,,3768.0,,
aaa,acip,2876.5,4224.0,949.5,2358.0,5476.5,1932.0,,3813.0,,
aaa,acis,2876.5,4224.0,2053.5,2358.0,5476.5,1005.0,,3813.0,,
aaa,ack,2917.0,4260.0,958.5,2371.5,5500.5,1935.0,,3826.5,,
aaa,acom,2533.0,3378.0,943.5,,,,,2989.5,,
aaa,acr,2152.0,2653.5,913.5,2131.5,4837.5,1039.5,,2265.0,,
aaa,acra,2887.5,4302.0,970.5,2359.5,5482.5,1950.0,,3781.5,,
aaa,acry,1994.5,2331.0,942.0,,3589.5,975.0,,1735.5,,
aaa,acto,1933.5,2262.0,885.0,1720.5,3738.0,997.5,,,,
aaa,actt,1994.0,2260.5,861.0,1588.5,3388.5,928.5,,,,
aaa,acu,2135.0,2674.5,1332.0,1525.5,3541.5,940.5,,2433.0,,
aaa,ade,2091.5,2665.5,1473.0,1593.0,3922.5,1039.5,,,,
aaa,adi,2290.0,2787.0,1551.0,1909.5,4519.5,987.0,,2332.5,,
aaa,adk,2867.5,4314.0,2133.0,2446.5,5617.5,2086.5,,3456.0,,
aaa,adn,2867.5,4317.0,2133.0,2458.5,5614.5,2074.5,,3456.0,,
aaa,adt,2546.0,3748.5,1852.5,2100.0,4962.0,1588.5,,,,
aaa,aeb,1988.0,2250.0,921.0,1726.5,3834.0,985.5,,,,
aaa,aeh,2317.0,2980.5,1236.0,1978.5,4914.0,1329.0,,2451.0,,
aaa,aei,2213.0,1972.5,739.5,1423.5,2974.5,697.5,,,,
aaa,aep,1958.0,2407.5,883.5,2040.0,4549.5,858.0,,,,
aaa,aev,1869.5,1797.0,714.0,,,,,,,
aaa,aez,1991.0,2436.0,933.0,1732.5,3880.5,979.5,,,,
aaa,afa,2513.0,3262.5,1791.0,,,,,,,
aaa,afc,1973.0,1368.0,559.5,,,,,,,
aaa,afi,2321.0,2641.5,1284.0,1516.5,3438.0,774.0,,2482.5,,
