query_id,class,representative_id,representative_index,alignment_score,alignment_length,identities,identity_percent
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7S8F3A3|unreviewed|nitrate,1,4895.0,1325,876,66.11320754716982
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1V1UL92|unreviewed|nitrate,2,4812.0,1340,867,64.70149253731343
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A3M2DZD8|unreviewed|nitrate,3,4691.0,1335,833,62.397003745318344
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A5J6MQR6|unreviewed|nitrate,4,5002.0,1311,893,68.11594202898551
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2T5H6I8|unreviewed|nitrate,5,4789.0,1342,866,64.53055141579732
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A919E5U7|unreviewed|nitrate,6,4871.0,1338,871,65.09715994020927
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0F2RFV1|unreviewed|nitrate,7,4737.0,1341,851,63.46010439970171
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1Q2YS68|unreviewed|nitrate,8,4512.0,1357,811,59.76418570375829
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2L0VSQ9|unreviewed|nitrate,9,4943.0,1334,895,67.09145427286357
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1N6UET5|unreviewed|nitrate,10,4751.0,1350,853,63.18518518518519
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2G1YIL5|unreviewed|Nitrate,11,2355.0,1295,524,40.463320463320464
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A371WSG3|unreviewed|nitrate,12,4869.0,1327,868,65.41070082893745
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A961SK50|unreviewed|nitrate,13,4850.0,1329,869,65.3875094055681
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A844ZW81|unreviewed|nitrate,14,4904.0,1329,877,65.98946576373213
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0N0MB29|unreviewed|nitrate,15,4823.0,1337,866,64.77187733732237
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1E3VN80|unreviewed|nitrate,16,4900.0,1329,881,66.29044394281415
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1E4F5D4|unreviewed|nitrate,17,4851.0,1334,869,65.1424287856072
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0A1WA97|unreviewed|nitrate,18,4779.0,1341,862,64.28038777032066
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A9E0J518|unreviewed|nitrate,19,4798.0,1332,863,64.7897897897898
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,B8IUP5|unreviewed|nitrate,20,4882.0,1331,870,65.36438767843727
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A953BZI6|unreviewed|nitrate,21,4767.0,1348,862,63.94658753709199
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A503HBD9|unreviewed|nitrate,22,4853.0,1333,869,65.19129782445611
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A231V214|unreviewed|nitrate,23,4748.0,1335,844,63.22097378277154
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1Q3W2Y5|unreviewed|nitrate,24,4940.0,1319,879,66.64139499620924
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A937B8V3|unreviewed|Molybdopterin,25,3329.0,1325,647,48.83018867924528
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A844H5C8|unreviewed|nitrate,26,4686.0,1343,838,62.397617274758
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7C7QVS5|unreviewed|Nitrate,27,3809.0,1328,723,54.44277108433735
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A840Y9L7|unreviewed|nitrate,28,4724.0,1335,843,63.146067415730336
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2W7IHW6|unreviewed|Nitrate,29,3751.0,1327,712,53.65486058779201
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A434GDJ8|unreviewed|nitrate,30,4764.0,1346,859,63.8187221396731
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1M2YTW4|unreviewed|nitrate,31,4775.0,1347,860,63.84558277654045
