Unnamed: 0,seqid,from_soil,Up0,Up1,Up2,Up3,Up4,Up5,Up6,Up7,Up8,Up9,Up10,Up11,id,status,prot_name,taxidstr,taxid,scientific_name,rank,superkingdom,kingdom,phylum,class,order,family,genus,species,full_lineage,group4,group8,ra_inf_g4,ra_inf_g8,dnra_pathway_present,denitrifier_pathway_present,metabolic_potential,genes_found_dnra,genes_found_denitrifier
0,A0A2H5WXR6|unreviewed|nitrate,False,-0.078577842176489,7.640330267661343e-05,0.0086799380497384,-0.0162735609778366,0.0048507662844922,-0.0053452618580988,0.019111379985523,-0.0003869371897109,-0.0072050278709004,-0.0103737142806753,0.0269446493377689,0.0446469337363166,A0A2H5WXR6,unreviewed,nitrate reductase (quinone),taxID:2035410,2035410.0,bacterium HR15,species,,,,,,,,bacterium HR15,cellular organisms; Bacteria; unclassified Bacteria,,,,,False,True,denitrifier,,nosZ
1,H5SMI6|unreviewed|nitrate,False,-0.0785730563691298,6.84957923630365e-05,0.0085625319087613,-0.0170305161429603,0.0050118527034636,-0.006163405724297,0.0184689627072636,-0.000407177107147,-0.0064531124505027,-0.0127476852637305,0.026605270837944,0.0449217627812772,H5SMI6,unreviewed,nitrate reductase (quinone),taxID:236499,236499.0,uncultured Acetothermia bacterium,species,,,Candidatus Bipolaricaulota,,,,,uncultured Acetothermia bacterium,cellular organisms; Bacteria; Bacteria incertae sedis; Bacteria candidate phyla; Candidatus Bipolaricaulota; environmental samples,,,,,False,False,neither,,
2,H5SRV2|unreviewed|nitrate,False,-0.0785730563691298,6.84957923630365e-05,0.0085625319087613,-0.0170305161429603,0.0050118527034636,-0.006163405724297,0.0184689627072636,-0.000407177107147,-0.0064531124505027,-0.0127476852637305,0.026605270837944,0.0449217627812772,H5SRV2,unreviewed,nitrate reductase (quinone),taxID:1446466,1446466.0,Candidatus Acetithermum autotrophicum,species,,,Candidatus Bipolaricaulota,,,,Candidatus Acetithermum,Candidatus Acetithermum autotrophicum,cellular organisms; Bacteria; Bacteria incertae sedis; Bacteria candidate phyla; Candidatus Bipolaricaulota; Candidatus Acetithermum,,,,,False,False,neither,,
3,A0A3A0BAK4|unreviewed|nitrate,False,-0.076893878033617,-6.60768583006723e-05,0.0085044217536753,-0.0171127373703056,0.0032720698832152,-0.0053425283949534,0.0181309596984985,-0.0004275215937029,-0.008287644685251,-0.0150197958670936,0.0227073260033556,0.0398635556912271,A0A3A0BAK4,unreviewed,nitrate reductase (quinone),taxID:2026749,2026749.0,Ignavibacteriota bacterium,species,,Pseudomonadati,Ignavibacteriota,,,,,Ignavibacteriota bacterium,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Ignavibacteriota; unclassified Ignavibacteriota,,,,,True,True,both,nrfA,nosZ
4,A0A6H9I3P4|unreviewed|nitrate,False,-0.076893878033617,-6.60768583006723e-05,0.0085044217536753,-0.0171127373703056,0.0032720698832152,-0.0053425283949534,0.0181309596984985,-0.0004275215937029,-0.008287644685251,-0.0150197958670936,0.0227073260033556,0.0398635556912271,A0A6H9I3P4,unreviewed,nitrate reductase (quinone),taxID:2268192,2268192.0,Chlorobiota bacterium,species,,Pseudomonadati,Chlorobiota,,,,,Chlorobiota bacterium,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Chlorobiota; unclassified Chlorobiota,,,,,True,True,both,nrfA,nosZ
5,A0A951SRW9|unreviewed|nitrate,False,-0.0772674666863482,-0.0001529881626715,0.0086886753879079,-0.0169975124045913,0.0034380052476713,-0.0056514367867304,0.0180368518586892,-0.0006236717111344,-0.0080128682646303,-0.0157283974599598,0.022240091581771,0.0402925210587599,A0A951SRW9,unreviewed,nitrate reductase (quinone),taxID:2053306,2053306.0,Ignavibacteria bacterium,species,,Pseudomonadati,Ignavibacteriota,Ignavibacteria,,,,Ignavibacteria bacterium,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Ignavibacteriota; Ignavibacteria; unclassified Ignavibacteria,,,,,True,True,both,nrfA,nosZ
6,A0A933JRH6|unreviewed|4Fe-4S,False,-0.0772011545688942,-0.0003144915744057,0.0086581161304247,-0.015892666198293,0.0040123149850664,-0.0068627919124423,0.0185387435939559,0.0006069735467386,-0.0094777739893528,-0.0166733981753338,0.0245224039799444,0.0461852946673202,A0A933JRH6,unreviewed,4fe-4s mo/w bis-mgd-type domain-containing protein,taxID:2026735,2026735.0,Deltaproteobacteria bacterium,species,,Pseudomonadati,Myxococcota,Myxococcia,,,,Deltaproteobacteria bacterium,cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; unclassified Myxococcia,,,,,True,True,both,nirB,"nirK,nosZ"
7,A0A381N1R9|unreviewed|4Fe-4S,False,-0.077410219495475,-0.0006363251674578,0.0084128973569711,-0.0162362616933604,0.0040654145218648,-0.0064829260515777,0.018860103381985,-0.0004621276981725,-0.0102480358591206,-0.0139033644396053,0.0248484381703726,0.0461335617611761,A0A381N1R9,unreviewed,4fe-4s mo/w bis-mgd-type domain-containing protein,taxID:408172,408172.0,marine metagenome,species,,,,,,,,marine metagenome,unclassified entries; unclassified sequences; metagenomes; ecological metagenomes,,,,,False,False,neither,,
8,A0A381TPL2|unreviewed|4Fe-4S,False,-0.082702481635589,-0.0006608621414687,0.0072102703708347,-0.0037128274438481,0.0058085499962162,-0.0056086108294596,0.0197245891031937,0.0003052771999492,-0.0085732564931089,-0.0127987143402047,0.0241575467385602,0.0482589324820974,A0A381TPL2,unreviewed,4fe-4s mo/w bis-mgd-type domain-containing protein,taxID:408172,408172.0,marine metagenome,species,,,,,,,,marine metagenome,unclassified entries; unclassified sequences; metagenomes; ecological metagenomes,,,,,False,False,neither,,
9,A0A2E8K9I6|unreviewed|4Fe-4S,False,-0.077721199414584,-0.0002808459376082,0.0087242670547782,-0.0162944757871437,0.0046183254906576,-0.0077411043650823,0.019485271933652,0.0004084746956159,-0.0086387162711562,-0.0158709937478258,0.0251074245050677,0.0489310937451369,A0A2E8K9I6,unreviewed,4fe-4s mo/w bis-mgd-type domain-containing protein,taxID:1913989,1913989.0,Gammaproteobacteria bacterium,species,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,,,,Gammaproteobacteria bacterium,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria,,,,,True,True,both,"nrfA,nirB","nirK,nosZ"
10,A0A7V2AK69|unreviewed|4Fe-4S,False,-0.0819521174895848,-0.0003960276286698,0.00824948517687,-0.015850581364837,0.0052537083245724,-0.007070159710834,0.0052033471946252,0.0002704918239122,-0.0057769469240463,-0.0161231935170927,0.0249315956015858,0.0451564823861279,A0A7V2AK69,unreviewed,4fe-4s mo/w bis-mgd-type domain-containing protein,taxID:2026786,2026786.0,Rhodospirillales bacterium,species,,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,,,Rhodospirillales bacterium,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; unclassified Rhodospirillales,,,,,False,False,neither,,
11,A0A2D6K6N5|unreviewed|4Fe-4S,False,-0.0776170092971172,-0.0008191445356352,0.0087578356082674,-0.0160729636988656,0.0047238698609689,-0.0070358670328901,0.0195353047458696,-0.000581568281513,-0.0076229593141852,-0.0139655940023042,0.0256407287775345,0.0466836918498261,A0A2D6K6N5,unreviewed,4fe-4s mo/w bis-mgd-type domain-containing protein,taxID:2024893,2024893.0,Acidiferrobacteraceae bacterium,species,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,,Acidiferrobacteraceae bacterium,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Acidiferrobacterales; Acidiferrobacteraceae; unclassified Acidiferrobacteraceae,,,,,False,False,neither,,
12,A0A2D6K8E1|unreviewed|4Fe-4S,False,-0.0776163509779424,-0.0008201797509142,0.0087534663348191,-0.0160737108863895,0.0047250806314065,-0.0070369369786008,0.0195359608818139,-0.0005828729217805,-0.0076225501443833,-0.0139654343976751,0.0256432912431168,0.0466842253124347,A0A2D6K8E1,unreviewed,4fe-4s mo/w bis-mgd-type domain-containing protein,taxID:2024893,2024893.0,Acidiferrobacteraceae bacterium,species,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,,Acidiferrobacteraceae bacterium,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Acidiferrobacterales; Acidiferrobacteraceae; unclassified Acidiferrobacteraceae,,,,,False,False,neither,,
13,A0A2D6JYX6|unreviewed|nitrate,False,-0.0782947261159142,-0.000531820679193,0.0092966550992734,-0.0161242073565791,0.0044516538623402,-0.0072680088030955,0.0199457905237995,-7.373626234513653e-05,-0.0091930592787443,-0.0148195878553257,0.0254517646703592,0.0509103015028874,A0A2D6JYX6,unreviewed,nitrate reductase (quinone),taxID:1898112,1898112.0,Rhodospirillaceae bacterium,species,,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,Rhodospirillaceae bacterium,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; unclassified Rhodospirillaceae,,,,,False,True,denitrifier,,nirK
14,A0A2D6FZ31|unreviewed|4Fe-4S,False,-0.0776271871703932,-0.0008353998964595,0.0084070576328851,-0.0162763377733373,0.0045542794068045,-0.0071971915536891,0.0195241717822461,-0.0003074847372967,-0.0077605253962661,-0.0149151831789803,0.0245011155527701,0.0474897952245695,A0A2D6FZ31,unreviewed,4fe-4s mo/w bis-mgd-type domain-containing protein,taxID:1898112,1898112.0,Rhodospirillaceae bacterium,species,,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,Rhodospirillaceae bacterium,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; unclassified Rhodospirillaceae,,,,,False,True,denitrifier,,nirK
