	seqid	from_soil	Up0	Up1	Up2	Up3	Up4	Up5	Up6	Up7	Up8	Up9	Up10	Up11	id	status	prot_name	taxidstr	taxid	scientific_name	rank	superkingdom	kingdom	phylum	class	order	family	genus	species	full_lineage	group4	group8	ra_inf_g4	ra_inf_g8
0	A0A2H5WXR6|unreviewed|nitrate	False	-0.07857784217648907	7.640330267661343e-05	0.008679938049738496	-0.01627356097783666	0.0048507662844922495	-0.005345261858098878	0.01911137998552303	-0.0003869371897109953	-0.007205027870900421	-0.010373714280675387	0.026944649337768994	0.0446469337363166	A0A2H5WXR6	unreviewed	nitrate reductase (quinone)	taxID:2035410	2035410.0	bacterium HR15	species								bacterium HR15	cellular organisms; Bacteria; unclassified Bacteria				
1	H5SMI6|unreviewed|nitrate	False	-0.0785730563691298	6.84957923630365e-05	0.008562531908761347	-0.017030516142960344	0.005011852703463634	-0.006163405724297031	0.01846896270726361	-0.0004071771071470429	-0.00645311245050271	-0.012747685263730518	0.02660527083794403	0.0449217627812772	H5SMI6	unreviewed	nitrate reductase (quinone)	taxID:236499	236499.0	uncultured Acetothermia bacterium	species			Candidatus Bipolaricaulota					uncultured Acetothermia bacterium	cellular organisms; Bacteria; Bacteria incertae sedis; Bacteria candidate phyla; Candidatus Bipolaricaulota; environmental samples				
2	H5SRV2|unreviewed|nitrate	False	-0.0785730563691298	6.84957923630365e-05	0.008562531908761347	-0.017030516142960344	0.005011852703463634	-0.006163405724297031	0.01846896270726361	-0.0004071771071470429	-0.00645311245050271	-0.012747685263730518	0.02660527083794403	0.0449217627812772	H5SRV2	unreviewed	nitrate reductase (quinone)	taxID:1446466	1446466.0	Candidatus Acetithermum autotrophicum	species			Candidatus Bipolaricaulota				Candidatus Acetithermum	Candidatus Acetithermum autotrophicum	cellular organisms; Bacteria; Bacteria incertae sedis; Bacteria candidate phyla; Candidatus Bipolaricaulota; Candidatus Acetithermum				
3	A0A3A0BAK4|unreviewed|nitrate	False	-0.07689387803361707	-6.60768583006723e-05	0.008504421753675368	-0.01711273737030564	0.003272069883215216	-0.005342528394953435	0.01813095969849852	-0.00042752159370295636	-0.008287644685251061	-0.015019795867093608	0.02270732600335561	0.03986355569122715	A0A3A0BAK4	unreviewed	nitrate reductase (quinone)	taxID:2026749	2026749.0	Ignavibacteriota bacterium	species		Pseudomonadati	Ignavibacteriota					Ignavibacteriota bacterium	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Ignavibacteriota; unclassified Ignavibacteriota				
4	A0A6H9I3P4|unreviewed|nitrate	False	-0.07689387803361707	-6.60768583006723e-05	0.008504421753675368	-0.01711273737030564	0.003272069883215216	-0.005342528394953435	0.01813095969849852	-0.00042752159370295636	-0.008287644685251061	-0.015019795867093608	0.02270732600335561	0.03986355569122715	A0A6H9I3P4	unreviewed	nitrate reductase (quinone)	taxID:2268192	2268192.0	Chlorobiota bacterium	species		Pseudomonadati	Chlorobiota					Chlorobiota bacterium	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Chlorobiota; unclassified Chlorobiota				
5	A0A951SRW9|unreviewed|nitrate	False	-0.07726746668634822	-0.0001529881626715859	0.008688675387907902	-0.01699751240459138	0.0034380052476713197	-0.00565143678673042	0.01803685185868921	-0.0006236717111344328	-0.008012868264630341	-0.01572839745995983	0.022240091581771045	0.040292521058759925	A0A951SRW9	unreviewed	nitrate reductase (quinone)	taxID:2053306	2053306.0	Ignavibacteria bacterium	species		Pseudomonadati	Ignavibacteriota	Ignavibacteria				Ignavibacteria bacterium	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Ignavibacteriota; Ignavibacteria; unclassified Ignavibacteria				
6	A0A933JRH6|unreviewed|4Fe-4S	False	-0.07720115456889425	-0.00031449157440572174	0.008658116130424748	-0.01589266619829307	0.004012314985066482	-0.0068627919124423726	0.018538743593955957	0.0006069735467386617	-0.009477773989352834	-0.01667339817533388	0.02452240397994448	0.046185294667320256	A0A933JRH6	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:2026735	2026735.0	Deltaproteobacteria bacterium	species		Pseudomonadati	Myxococcota	Myxococcia				Deltaproteobacteria bacterium	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; unclassified Myxococcia				
7	A0A381N1R9|unreviewed|4Fe-4S	False	-0.07741021949547508	-0.0006363251674578887	0.008412897356971186	-0.0162362616933604	0.0040654145218648585	-0.006482926051577757	0.01886010338198502	-0.0004621276981725189	-0.010248035859120666	-0.013903364439605395	0.02484843817037267	0.04613356176117618	A0A381N1R9	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:408172	408172.0	marine metagenome	species								marine metagenome	unclassified entries; unclassified sequences; metagenomes; ecological metagenomes				
8	A0A381TPL2|unreviewed|4Fe-4S	False	-0.08270248163558908	-0.0006608621414687014	0.00721027037083475	-0.0037128274438481645	0.005808549996216281	-0.005608610829459692	0.019724589103193763	0.00030527719994924944	-0.008573256493108918	-0.012798714340204789	0.024157546738560215	0.048258932482097415	A0A381TPL2	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:408172	408172.0	marine metagenome	species								marine metagenome	unclassified entries; unclassified sequences; metagenomes; ecological metagenomes				
9	A0A2E8K9I6|unreviewed|4Fe-4S	False	-0.07772119941458404	-0.00028084593760829986	0.00872426705477822	-0.01629447578714377	0.00461832549065762	-0.007741104365082355	0.01948527193365209	0.00040847469561591646	-0.008638716271156222	-0.015870993747825836	0.025107424505067737	0.048931093745136975	A0A2E8K9I6	unreviewed	4fe-4s mo/w bis-mgd-type domain-containing protein	taxID:1913989	1913989.0	Gammaproteobacteria bacterium	species		Pseudomonadati	Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria				
