species_1,species_2,16S,dnaK,fusA,nifH,recA
aaa,aaa,3034.0,3930.0,4206.0,,2130.0
aaa,aaci,1998.0,2134.5,2361.0,,1309.5
aaa,aalg,1940.0,1606.5,1707.0,,891.0
aaa,aamb,1456.0,,,,
aaa,aaq,1993.0,2016.0,2218.5,,1204.5
aaa,aaqi,2009.0,1198.5,1623.0,,733.5
aaa,aaqu,2519.5,2467.5,2740.5,,
aaa,aasc,2110.5,2040.0,2086.5,,1039.5
aaa,aba,2022.5,1692.0,2305.5,,1206.0
aaa,abo,2253.5,2205.0,2251.5,,1152.0
aaa,ace,2067.5,2040.0,2188.5,,1147.5
aaa,acet,2113.5,2052.0,2082.0,,1029.0
aaa,achr,2550.0,2997.0,3082.5,,1510.5
aaa,acib,1959.5,1228.5,1672.5,,706.5
aaa,acid,2879.5,3201.0,3483.0,,1744.5
aaa,acii,2346.5,2442.0,2530.5,,1219.5
aaa,acin,2888.5,3160.5,3477.0,,1722.0
aaa,acio,2941.5,3153.0,3438.0,,1719.0
aaa,acip,2876.5,3163.5,3480.0,,1726.5
aaa,acis,2876.5,3163.5,3480.0,,1726.5
aaa,ack,2917.0,3193.5,3568.5,,1759.5
aaa,acom,2533.0,2659.5,1545.0,,1420.5
aaa,acr,2152.0,2470.5,2314.5,,1366.5
aaa,acra,2887.5,3190.5,3619.5,,1752.0
aaa,acry,1994.5,2040.0,2313.0,,1140.0
aaa,acto,1933.5,2044.5,2359.5,,1189.5
aaa,actt,1994.0,1932.0,2208.0,,
aaa,acu,2135.0,2437.5,2446.5,,1264.5
aaa,ade,2091.5,1524.0,2490.0,,1135.5
aaa,adi,2290.0,2440.5,2538.0,,1263.0
aaa,adk,2867.5,3435.0,3400.5,,1824.0
aaa,adn,2867.5,3429.0,3400.5,,1827.0
aaa,adt,2546.0,2946.0,2883.0,,1528.5
aaa,aeb,1988.0,2079.0,2377.5,,1234.5
aaa,aeh,2317.0,2650.5,2551.5,,1338.0
aaa,aei,2213.0,1708.5,2206.5,,852.0
aaa,aep,1958.0,2199.0,2358.0,,1189.5
aaa,aev,1869.5,1576.5,1722.0,,897.0
aaa,aez,1991.0,2164.5,2407.5,,1246.5
aaa,afa,2513.0,2515.5,2779.5,,1291.5
aaa,afc,1973.0,1213.5,1626.0,,717.0
aaa,afi,2321.0,2235.0,2244.0,,1285.5
